날짜,종가,시가,고가,저가,거래량,변동 %,일간수익률,누적수익률,5일이동평균,20일이동평균,60일이동평균,연환산변동성,고점,낙폭
2002-08-16,928.8,930.2,935.4,916.2,,-0.15,-0.0015050526768437544,-0.36173721825178495,913.32,878.325,955.2566666666667,0.23569165251180976,1527.5,-0.39194762684124385
2002-08-19,950.7,928.8,951.2,927.2,,2.36,0.023578811369509234,-0.34668774051676554,922.7,884.865,952.8166666666667,0.23695060381602415,1527.5,-0.37761047463175124
2002-08-20,937.4,950.7,950.7,931.9,,-1.4,-0.013989691806037707,-0.35582737768004213,933.3399999999999,891.85,950.3766666666667,0.2372988709420878,1527.5,-0.38631751227495914
2002-08-21,949.4,937.4,951.6,931.3,,1.28,0.012801365478984472,-0.34758108851016856,939.3,897.15,948.2916666666666,0.2375984650640819,1527.5,-0.3784615384615385
2002-08-22,962.7,949.4,965.0,946.4,,1.4,0.014008847693280035,-0.33844145134689196,945.8,903.35,946.5416666666666,0.23802506370658594,1527.5,-0.3697545008183306
2002-08-23,940.9,962.7,962.7,937.2,,-2.26,-0.02264464526851573,-0.3534222100054957,948.22,907.7550000000001,944.4783333333332,0.2385019351496814,1527.5,-0.38402618657937804
2002-08-26,948.0,940.9,950.8,930.4,,0.75,0.0075459666276969095,-0.34854315557998716,947.6800000000001,910.2050000000002,942.4933333333333,0.2384823857617562,1527.5,-0.37937806873977087
2002-08-27,934.8,948.0,955.8,930.4,,-1.39,-0.013924050632911467,-0.35761407366684816,947.1600000000001,911.805,940.7283333333334,0.2385796857202784,1527.5,-0.3880196399345336
2002-08-28,917.9,934.8,934.8,913.2,,-1.81,-0.018078733418913084,-0.3692275975810868,940.86,912.1200000000001,938.6816666666666,0.2390838307896542,1527.5,-0.39908346972176756
2002-08-29,917.8,917.9,924.6,903.3,,-0.01,-0.00010894432944763555,-0.3692963166575024,931.8799999999999,913.775,936.48,0.23907719856605367,1527.5,-0.39914893617021274
2002-08-30,916.1,917.8,928.1,910.2,,-0.19,-0.001852255393331781,-0.3704645409565678,926.9200000000001,916.3699999999999,934.5949999999999,0.2381964520896959,1527.5,-0.40026186579378065
2002-09-03,878.0,916.1,916.1,877.5,,-4.16,-0.04158934614125098,-0.39664650907091636,912.9200000000001,918.54,932.1033333333332,0.2416162073232657,1527.5,-0.42520458265139116
2002-09-04,893.4,878.0,896.1,875.7,,1.75,0.0175398633257402,-0.38606377130291203,904.64,920.2299999999999,929.815,0.24192098777174734,1527.5,-0.4151227495908347
2002-09-05,879.1,893.4,893.4,870.5,,-1.6,-0.01600626818894102,-0.39589059923034464,896.8800000000001,920.3449999999999,927.5733333333334,0.24217750379488892,1527.5,-0.42448445171849425
